,Ranking,Move,Country,Player,Age,Points,Tourn Played,Points Dropping,Next Best
778,779,4,SUI,Jakub Paul ,18,22 ,6 ,0,0
779,780,4,USA,Eric Quigley ,29,22 ,9 ,8,0
780,781,9,USA,Patrick Kypson ,18,22 ,11 ,0,0
781,782,4,CAN,Benjamin Sigouin ,18,22 ,16 ,0,0
782,783,4,USA,Strong Kirchheimer ,22,22 ,17 ,0,0
783,784,4,USA,Cameron Silverman ,25,22 ,20 ,0,0
784,785,13,JPN,Ken Onishi ,22,22 ,21 ,0,0
785,786,3,RUS,Timur Kiyamov ,21,22 ,21 ,0,0
786,787,4,CHI,Jorge Montero ,27,21 ,15 ,0,0
787,788,7,CHN,Rigele Te ,20,21 ,17 ,2,0
788,789,3,NED,Guy Den Heijer ,20,21 ,18 ,0,0
789,790,3,NED,Kevin Griekspoor ,27,21 ,18 ,2,0
790,791,3,HUN,Viktor Filipenko ,26,21 ,18 ,0,0
791,792,5,ARG,Gonzalo Villanueva ,23,21 ,19 ,0,0
792,793,53,JPN,Jumpei Yamasaki ,20,21 ,20 ,0,0
793,794,37,BRA,Igor Marcondes ,20,21 ,20 ,0,0
794,795,4,CHI,Alejandro Tabilo ,20,21 ,21 ,0,0
795,796,36,BEL,Omar Salman ,21,21 ,21 ,0,0
796,797,4,POL,Maciej Smola ,24,21 ,21 ,0,0
797,798,4,NED,Sem Verbeek ,23,21 ,21 ,0,0
798,799,1,RUS,Denis Matsukevich ,31,21 ,22 ,0,0
799,800,15,RUS,Bogdan Bobrov ,20,21 ,25 ,0,0
800,801,4,ARG,Felipe Martinez Sarrasague ,20,20 ,8 ,0,0
801,802,17,KOR,Seong-chan Hong ,20,20 ,10 ,0,0
802,803,3,ARG,Geronimo Espin Busleiman ,20,20 ,11 ,0,0
803,804,3,USA,Wil Spencer ,28,20 ,12 ,0,0
804,805,3,CHN,Zihao Xia ,21,20 ,14 ,0,0
805,806,3,GER,Sebastian Prechtel ,21,20 ,14 ,0,0
806,807,3,SWE,Patrik Brydolf ,26,20 ,15 ,0,0
807,808T,4,ROU,Bogdan Borza ,20,20 ,17 ,0,0
808,808T,4,ROU,Petru-Alexandru Luncanu ,28,20 ,17 ,1,0
809,810,1,CRO,Matej Sabanov ,25,20 ,17 ,1,0
810,811,19,SWE,Daniel Appelgren ,21,20 ,20 ,1,0
811,812,2,BRA,Marcelo Zormann ,21,20 ,23 ,0,0
812,813,3,FRA,Hugo Voljacques ,25,20 ,25 ,0,0
813,814,3,USA,Raleigh Smith ,26,20 ,26 ,0,0
814,815T,3,FRA,Tristan Meraut ,22,19 ,5 ,0,0
815,815T,3,GBR,James Ward ,31,19 ,5 ,0,0
816,817,13,INA,Christopher Rungkat ,28,19 ,5 ,0,0
817,818,2,USA,Ryan Haviland ,37,19 ,6 ,0,0
818,819,2,KOR,Jea Moon Lee ,24,19 ,7 ,0,0
819,820,2,KOR,Min-Kyu Song ,27,19 ,7 ,0,0
820,821,2,USA,Tom Fawcett ,22,19 ,9 ,0,0
821,822,2,SLO,Nik Razborsek ,24,19 ,12 ,0,0
822,823,2,SUI,Luca Margaroli ,26,19 ,14 ,0,0
823,824,2,HUN,Gabor Borsos ,26,19 ,17 ,0,0
824,825,2,BRA,Ricardo Hocevar ,32,19 ,17 ,0,0
825,826,2,MEX,Lucas Gomez ,22,19 ,18 ,0,0
826,827T,18,ARG,Nicolas Alberto Arreche ,23,19 ,18 ,0,0
827,827T,2,GER,Julian Onken ,29,19 ,18 ,0,0
828,829,5,VEN,Ricardo Rodriguez - Pace ,24,19 ,20 ,0,0
829,830,3,UZB,Temur Ismailov ,23,19 ,20 ,2,0
830,831,4,ITA,Nicola Ghedin ,29,19 ,21 ,0,0
831,832,29,JPN,Ryota Tanuma ,22,19 ,24 ,0,0
832,833,3,UKR,Yurii Dzhavakian ,24,19 ,26 ,0,0
833,834,3,ISR,Alon Elia ,22,19 ,30 ,0,0
834,835,3,RUS,Mikhail Elgin ,36,18 ,3 ,0,0
835,836,3,PER,Nicolas Alvarez ,21,18 ,4 ,0,0
836,837,3,BRA,Caio Zampieri ,31,18 ,8 ,6,0
837,838,3,JPN,Yusuke Watanuki ,27,18 ,10 ,0,0
838,839,3,ARG,Camilo Ugo Carabelli ,18,18 ,11 ,0,0
839,840,3,GER,Adrian Obert ,22,18 ,12 ,0,0
840,841,20,GUA,Wilfredo Gonzalez ,25,18 ,15 ,0,0
841,842,2,EST,Kenneth Raisma ,19,18 ,15 ,0,0
842,843,77,BRA,Fernando Romboli ,29,18 ,18 ,2,0
843,844,19,RUS,Maxim Ratniuk ,21,18 ,18 ,0,0
844,845,1,UKR,Oleksandr Bielinskyi ,23,18 ,18 ,0,0
845,846,2,RUS,Denis Klok ,19,18 ,21 ,2,0
846,847,2,NED,Niels Lootsma ,23,18 ,21 ,3,0
847,848,2,GER,Luca Gelhardt ,23,18 ,23 ,0,0
848,849,4,ESP,Sergio Martos Gornes ,23,18 ,23 ,0,0
849,850,1,SRB,Milan Drinic ,20,18 ,23 ,0,0
850,851,1,GER,Florian Fallert ,25,18 ,24 ,0,0
851,852,3,UKR,Daniil Zarichanskyy ,20,18 ,25 ,0,0
852,853,3,UKR,Oleg Khotkov ,27,18 ,33 ,0,0
853,854,4,SLO,Tom Kocevar-Desman ,27,17 ,11 ,2,0
854,855,4,ITA,Luca Giacomini ,20,17 ,12 ,0,0
855,856,4,FRA,Dan Added ,18,17 ,13 ,0,0
856,857,5,FRA,Pierre Faivre ,22,17 ,16 ,2,0
857,858,7,USA,Adam El Mihdawy ,28,17 ,19 ,2,0
858,859,8,JPN,Soichiro Moritani ,23,17 ,19 ,0,0
859,860,6,ROU,Bogdan Ionut Apostol ,22,17 ,20 ,0,0
860,861,7,CRO,Fran Zvonimir Zgombic ,22,17 ,22 ,0,0
861,862,7,POR,Francisco Cabral ,21,17 ,24 ,0,0
862,863,9,JPN,Issei Okamura ,25,17 ,25 ,1,0
863,864,22,ESP,Alberto Romero De Avila Senise ,20,17 ,27 ,1,0
864,865,5,USA,Emil Reinberg ,20,16 ,2 ,0,0
865,866,164,JPN,Shinji Hazawa ,18,16 ,4 ,0,0
866,867,4,FRA,Hugo Nys ,27,16 ,5 ,8,0
867,868,4,VEN,David Souto ,25,16 ,9 ,0,0
868,869,4,USA,Jeffrey Schorsch ,23,16 ,9 ,0,0
869,870,4,TUN,Skander Mansouri ,22,16 ,9 ,0,0
870,871,81,POL,Andriej Kapas ,28,16 ,10 ,0,0
871,872,3,RUS,Artem Dubrivnyy ,19,16 ,11 ,0,0
872,873,3,IND,Manish Sureshkumar ,18,16 ,11 ,0,0
873,874,3,MNE,Rrezart Cungu ,19,16 ,14 ,0,0
874,875,3,PER,Jorge Panta ,22,16 ,14 ,0,0
875,876,3,GBR,Luke Johnson ,23,16 ,15 ,0,0
876,877,3,FRA,Thomas Setodji ,22,16 ,19 ,0,0
877,878,4,AUS,Daniel Nolan ,20,16 ,20 ,0,0
878,879,2,JPN,Yuichi Ito ,31,16 ,20 ,1,0
879,880,3,RUS,Vladimir Polyakov ,23,16 ,21 ,0,0
880,881,4,TUR,Muhammet Haylaz ,22,16 ,25 ,1,0
881,882,5,KAZ,Andrey Golubev ,30,15 ,2 ,0,0
882,883T,5,CRO,Kristijan Mesaros ,29,15 ,5 ,0,0
883,883T,5,RUS,Anton Zaitcev ,30,15 ,5 ,0,0
884,885,5,SWE,Isak Arvidsson ,25,15 ,6 ,1,0
885,886,5,KOR,Seong-Gook Oh ,25,15 ,6 ,0,0
886,887,5,USA,Sebastian Korda ,17,15 ,8 ,0,0
887,888,5,USA,Harrison Adams ,23,15 ,8 ,0,0
888,889,5,CHI,Cristobal Saavedra-Corvalan ,27,15 ,9 ,2,0
889,890,5,BRA,Andre Miele ,30,15 ,11 ,0,0
890,891,5,IRL,Simon Carr ,18,15 ,12 ,0,0
891,892,5,USA,Junior A. Ore ,25,15 ,13 ,0,0
892,893,5,SWE,Karl Friberg ,18,15 ,14 ,0,0
893,894,30,UKR,Vadym Ursu ,21,15 ,17 ,0,0
894,895,4,GER,Johannes Haerteis ,22,15 ,19 ,3,0
895,896,4,TPE,Cing-Yang Meng ,19,15 ,20 ,0,0
896,897,4,SUI,Johan Nikles ,20,15 ,21 ,0,0
897,898,14,TUR,Sarp Agabigun ,20,15 ,22 ,2,0
898,899,3,SLO,Grega Zemlja ,31,14 ,2 ,0,0
899,900,3,USA,Trevor Allen Johnson ,22,14 ,4 ,0,0
900,901,3,GER,Lukas Ruepke ,24,14 ,10 ,2,0
901,902,3,CHI,Bastian Malla ,21,14 ,11 ,3,0
902,903,23,UZB,Khumoyun Sultanov ,19,14 ,12 ,0,0
903,904,2,EGY,Mazen Osama ,23,14 ,13 ,0,0
904,905,2,ARG,Facundo Juarez ,20,14 ,13 ,0,0
905,906,2,CZE,Matej Vocel ,20,14 ,13 ,0,0
906,907,2,RUS,Dmitry Mnushkin ,21,14 ,14 ,0,0
907,908,2,DOM,Jose Olivares ,21,14 ,15 ,0,0
908,909,2,USA,Michael Zhu ,25,14 ,17 ,0,0
909,910,2,GER,Mats Rosenkranz ,19,14 ,21 ,0,0
910,911,2,UKR,Oleg Prihodko ,20,14 ,23 ,0,0
911,912,2,POL,Adrian Andrzejczuk ,21,14 ,23 ,1,0
912,913,2,POR,Nuno Deus ,22,14 ,25 ,1,0
913,914,2,FRA,Francois-Arthur Vibert ,27,14 ,27 ,2,0
914,915,2,ESP,Jose Fco. Vidal Azorin ,24,14 ,31 ,2,0
915,916,2,FRA,Alexis Gautier ,20,13 ,5 ,0,0
916,917,2,USA,Brandon Holt ,19,13 ,6 ,0,0
917,918,2,NED,Ryan Nijboer ,18,13 ,7 ,0,0
918,919,3,GBR,Finn Bass ,18,13 ,8 ,0,0
919,920,3,CHN,Huixin Wang ,21,13 ,9 ,0,0
920,921,3,UZB,Sergey Fomin ,17,13 ,9 ,0,0
921,922,1,ESP,Fernando Bogajo ,25,13 ,9 ,0,0
922,923,2,POL,Marcin Gawron ,29,13 ,11 ,0,0
923,924,3,BRA,Alexandre Tsuchiya ,25,13 ,12 ,0,0
924,925,3,CZE,Michael Vrbensky ,18,13 ,14 ,0,0
925,926,3,ESP,Marc Fornell-Mestres ,36,13 ,15 ,0,0
926,927,3,CZE,Filip Duda ,19,13 ,16 ,0,0
927,928,4,ARG,Federico Moreno ,23,13 ,17 ,0,0
928,929,2,FRA,Clement Larriere ,20,13 ,17 ,0,0
929,930,3,AUS,Dane Propoggia ,27,13 ,18 ,1,0
930,931,482,POR,Tiago Cacao ,20,13 ,19 ,0,0
931,932,23,ITA,Enrico Dalla Valle ,19,13 ,19 ,0,0
932,933,2,SWE,Dragos Nicolae Madaras ,20,13 ,19 ,0,0
933,934,,IRL,Peter Bothwell ,22,13 ,21 ,1,0
934,935,1,RUS,Andrey Chepelev ,19,13 ,24 ,0,0
935,936,1,CRO,Mate Pavic ,24,12 ,1 ,0,0
936,937,1,TPE,Jimmy Wang ,33,12 ,2 ,0,0
937,938,1,GBR,Julian Cash ,21,12 ,3 ,0,0
938,939,1,USA,Jacob Dunbar ,22,12 ,4 ,0,0
939,940,1,AUT,Bastian Trinker ,27,12 ,5 ,0,0
940,941,193,SUI,Yann Marti ,29,12 ,5 ,6,0
941,942,,IND,Abhinav Sanjeev Shanmugam ,19,12 ,7 ,1,0
942,943,,DEN,Soren Hess-Olesen ,27,12 ,8 ,0,0
943,944,1,GBR,James Marsalek ,25,12 ,9 ,1,0
944,945,1,AUS,Scott Puodziunas ,28,12 ,10 ,0,0
945,946,,USA,Tyler Lu ,22,12 ,11 ,0,0
946,947,,MEX,Luis Patino ,24,12 ,12 ,0,0
947,948,,GBR,Ryan Peniston ,22,12 ,13 ,0,0
948,949,23,ECU,Diego Hidalgo ,24,12 ,13 ,0,0
949,950T,1,EGY,Sherif Sabry ,31,12 ,14 ,0,0
950,950T,1,UKR,Vitaliy Sachko ,20,12 ,14 ,0,0
951,952,1,ITA,Simone Roncalli ,21,12 ,14 ,0,0
952,953,1,BRA,Felipe Meligeni Rodrigues Alves ,20,12 ,14 ,0,0
953,954,1,TPE,Chien-hsun Lo ,19,12 ,15 ,0,0
954,955,1,BRA,Eduardo Dischinger ,25,12 ,17 ,0,0
955,956,,CZE,Dominik Kellovsky ,21,12 ,18 ,1,0
956,957T,1,JPN,Rio Noguchi ,19,12 ,21 ,0,0
957,957T,1,BRA,Caio Silva ,26,12 ,21 ,0,0
958,959,2,SRB,Goran Markovic ,22,12 ,21 ,0,0
959,960,,JPN,Takao Suzuki ,41,11 ,2 ,0,0
960,961,,USA,Logan Smith ,21,11 ,5 ,0,0
961,962,,USA,Julian Zlobinsky ,22,11 ,5 ,0,0
962,963,,GER,Nils Langer ,28,11 ,5 ,0,0
963,964,,RUS,Kirill Dmitriev ,26,11 ,6 ,0,0
964,965,,SUI,Alexander Ritschard ,23,11 ,7 ,0,0
965,966,,ISR,Tal Goldengoren ,21,11 ,8 ,0,0
966,967,,ROU,Gabi Adrian Boitan ,18,11 ,8 ,0,0
967,968,,USA,Isaiah Strode ,20,11 ,9 ,0,0
968,969,112,JPN,Sho Shimabukuro ,20,11 ,9 ,0,0
969,970,1,TUR,Ergi Kirkin ,19,11 ,10 ,0,0
970,971,,MEX,Tigre Hank ,26,11 ,12 ,0,0
971,972,1,CAN,Alexander Day ,22,11 ,12 ,0,0
972,973,1,POL,Piotr Matuszewski ,19,11 ,13 ,0,0
973,974,1,CRO,Franjo Raspudic ,27,11 ,13 ,0,0
974,975,1,PHI,Francis Casey Alcantara ,26,11 ,13 ,1,0
975,976,1,ITA,Alessandro Luisi ,28,11 ,15 ,0,0
976,977,1,ARG,Eduardo Agustin Torre ,23,11 ,16 ,0,0
977,978,1,ESP,Adria Mas Mascolo ,24,11 ,16 ,0,0
978,979,1,BRA,Carlos Eduardo Severino ,27,11 ,17 ,0,0
979,980T,2,ARG,Juan Ignacio Ameal ,23,11 ,17 ,2,0
980,980T,68,GER,Frederik Press ,22,11 ,17 ,0,0
981,982,1,FRA,Louis Chaix ,22,11 ,18 ,0,0
982,983T,,USA,Connor Farren ,23,11 ,18 ,0,0
983,983T,,NED,Tim Van Terheijden ,28,11 ,18 ,0,0
984,985,1,UKR,Vladyslav Orlov ,22,11 ,19 ,0,0
985,986,3,RUS,Ivan Davydov ,21,11 ,19 ,0,0
986,987,,ESP,Sergi Perez Contri ,20,11 ,23 ,0,0
987,988,,ARG,Guillermo Duran ,29,10 ,2 ,0,0
988,989,,ITA,Riccardo Ghedin ,32,10 ,3 ,0,0
989,990,,SVK,Juraj Masar ,25,10 ,5 ,0,0
990,991,244,JPN,Kaito Uesugi ,22,10 ,6 ,0,0
991,992,1,USA,Keegan Smith ,19,10 ,7 ,0,0
992,993,1,COL,Sergio Luis Hernandez Ramirez ,18,10 ,7 ,0,0
993,994,,USA,Ezekiel Clark ,19,10 ,7 ,0,0
994,995,1,BEL,Jolan Cailleau ,22,10 ,8 ,0,0
995,996T,1,FRA,Jaimee Floyd Angele ,17,10 ,9 ,0,0
996,996T,2,CHI,Victor Nunez ,26,10 ,9 ,0,0
997,996T,2,USA,Gianni Ross ,19,10 ,9 ,0,0
998,999,2,NED,Mick Veldheer ,21,10 ,10 ,0,0
999,1000,2,BEL,Michael Geerts ,23,10 ,10 ,0,0
1000,1001T,31,RUS,Alen Avidzba ,18,10 ,10 ,0,0
1001,1001T,,GBR,Evan Hoyt ,23,10 ,10 ,0,0
1002,1003,1,GBR,Andrew Watson ,21,10 ,10 ,0,0
1003,1004T,1,BUL,Gabriel Donev ,21,10 ,11 ,0,0
1004,1004T,1,FRA,Luka Pavlovic ,17,10 ,11 ,0,0
1005,1006,1,AUS,Jake Delaney ,20,10 ,12 ,0,0
1006,1007,1,FRA,Hugo Daubias ,21,10 ,12 ,0,0
1007,1008,1,CZE,Petr Hajek ,20,10 ,12 ,0,0
1008,1009T,,TPE,Yu  Hsiang Chiu ,23,10 ,13 ,0,0
1009,1009T,,CAN,David Volfson ,20,10 ,13 ,0,0
1010,1011,1,HKG,Hong Kit Wong ,19,10 ,13 ,2,0
1011,1012,1,SLO,Mike Urbanija ,28,10 ,15 ,0,0
1012,1013T,1,ROU,Mircea-Alexandru Jecan ,29,10 ,15 ,0,0
1013,1013T,1,ESP,Javier Pulgar-Garcia ,28,10 ,15 ,0,0
1014,1013T,1,IND,Jayesh Pungliya ,21,10 ,15 ,0,0
1015,1016,1,ARG,Ignacio Monzon ,20,10 ,15 ,0,0
1016,1017,1,ITA,Alexander Weis ,20,10 ,15 ,0,0
1017,1018,1,ESP,Hugo Largo ,20,10 ,16 ,0,0
1018,1019,1,USA,Winston Lin ,24,10 ,18 ,1,0
1019,1020,1,GBR,Joshua Paris ,21,10 ,19 ,0,0
1020,1021,3,TPE,Jui-Chen Hung ,28,10 ,20 ,0,0
1021,1022T,,ITA,Marco Miceli ,19,10 ,20 ,0,0
1022,1022T,3,BRA,Thales Turini ,28,10 ,20 ,1,0
1023,1024,1,ITA,Francesco Ferrari ,20,10 ,20 ,0,0
1024,1025,1,USA,John Lamble ,25,10 ,22 ,0,0
1025,1026,1,URU,Santiago Maresca ,23,10 ,23 ,0,0
1026,1027,1,BRA,Fabricio Neis ,27,9 ,1 ,0,0
1027,1028,1,MEX,Gerardo Lopez Villasenor ,22,9 ,3 ,0,0
1028,1029,2,KOR,Jae Hwan Kim ,23,9 ,4 ,0,0
1029,1030,2,BLR,Pavel Filin ,25,9 ,6 ,0,0
1030,1031,2,HKG,Chun Hun Wong ,22,9 ,7 ,0,0
1031,1032,2,CHN,Su Hao Zhong ,20,9 ,8 ,0,0
1032,1033,2,ARG,Tomas Martin Etcheverry ,18,9 ,8 ,0,0
1033,1034,2,JPN,Gengo Kikuchi ,26,9 ,8 ,1,0
1034,1035,2,RUS,Richard Muzaev ,25,9 ,9 ,0,0
1035,1036,2,GER,Valentin Guenther ,20,9 ,10 ,0,0
1036,1037,2,BEN,Alexis Klegou ,29,9 ,10 ,0,0
1037,1038,2,USA,Eric Johnson ,25,9 ,11 ,0,0
1038,1039,32,KOR,Chan-yeong Oh ,19,9 ,11 ,0,0
1039,1040,2,SVK,Tomas Liska ,19,9 ,12 ,0,0
1040,1041,32,IND,Dalwinder Singh ,21,9 ,12 ,1,0
1041,1042,1,CHN,Jie Cui ,20,9 ,12 ,0,0
1042,1043,1,USA,Dusty H. Boyer ,24,9 ,13 ,0,0
1043,1044,,SUI,Vullnet Tashi ,25,9 ,13 ,0,0
1044,1045,35,USA,Maksim Tikhomirov ,27,9 ,13 ,0,0
1045,1046,1,AUS,Calum Puttergill ,24,9 ,14 ,0,0
1046,1047,1,GRE,Ioannis Stergiou ,22,9 ,14 ,0,0
1047,1048,1,USA,Nick Chappell ,25,9 ,15 ,0,0
1048,1049,1,CZE,Michal Schmid ,29,9 ,17 ,0,0
1049,1050,1,NED,Marc Dijkhuizen ,21,9 ,17 ,0,0
1050,1051T,1,ARG,Gabriel Alejandro Hidalgo ,27,9 ,17 ,0,0
1051,1051T,1,ARG,Alejo Vilaro ,22,9 ,17 ,0,0
1052,1053,1,BLR,Mikalai Haliak ,19,9 ,20 ,0,0
1053,1054,1,ESP,Aaron Cortes Alcaraz ,23,9 ,21 ,0,0
1054,1055T,1,AUS,James Duckworth ,26,8 ,1 ,0,0
1055,1055T,1,CRO,Matija Pecotic ,28,8 ,1 ,0,0
1056,1057,1,GBR,Jack Findel-Hawkins ,23,8 ,3 ,0,0
1057,1058,1,USA,Jesse Witten ,35,8 ,4 ,0,0
1058,1059T,1,USA,Elliott Orkin ,23,8 ,5 ,0,0
1059,1059T,1,CYP,Michail Pervolarakis ,21,8 ,5 ,0,0
1060,1061,1,JPN,Haru Inoue ,21,8 ,6 ,0,0
1061,1062,1,BDI,Guy Orly Iradukunda ,21,8 ,7 ,0,0
1062,1063,1,NED,Bart Van Den Berg ,24,8 ,7 ,0,0
1063,1064,1,FRA,Arthur Rinderknech ,22,8 ,8 ,0,0
1064,1065,1,UZB,Pavel Tsoy ,22,8 ,8 ,0,0
1065,1066,1,CHN,Aoran Wang ,21,8 ,8 ,0,0
1066,1067,1,USA,Jack Murray ,22,8 ,8 ,0,0
1067,1068,34,FRA,Damien Bayard ,,8 ,8 ,0,0
1068,1069,,AUS,Michael Look ,30,8 ,9 ,1,0
1069,1070,,VEN,Luis David Martinez ,28,8 ,10 ,0,0
1070,1071T,,USA,Hady Habib ,19,8 ,10 ,0,0
1071,1071T,,CRO,Neven Krivokuca ,22,8 ,10 ,0,0
1072,1073,,BUL,Vasko Mladenov ,28,8 ,11 ,0,0
1073,1074,,UKR,Alexander Lebedyn ,21,8 ,11 ,0,0
1074,1075T,,POL,Karol Drzewiecki ,22,8 ,12 ,0,0
1075,1075T,,JPN,Takashi Saito ,23,8 ,12 ,0,0
1076,1077,1,BLR,Sergey Betov ,30,8 ,13 ,0,0
1077,1078,1,USA,Aron Hiltzik ,21,8 ,13 ,0,0
1078,1079,2,CHI,Laslo Urrutia Fuentes ,27,8 ,13 ,1,0
1079,1080T,2,AUT,Jonas Trinker ,22,8 ,13 ,0,0
1080,1080T,3,URU,Nicolas Xiviller ,19,8 ,13 ,0,0
1081,1082,1,ITA,Antonio Zucca ,25,8 ,15 ,0,0
1082,1083,34,ESP,Quim Sorni Chavarria ,20,8 ,15 ,0,0
1083,1084T,,ISR,Jordan Hasson ,18,8 ,16 ,0,0
1084,1084T,,GEO,George Tsivadze ,25,8 ,16 ,0,0
1085,1086T,40,ITA,Giorgio Ricca ,23,8 ,16 ,0,0
1086,1086T,,CAN,Kelsey Stevenson ,27,8 ,16 ,0,0
1087,1088T,1,FRA,Romain Bauvy ,23,8 ,17 ,0,0
1088,1088T,1,USA,Tyler Mercier ,26,8 ,17 ,0,0
1089,1090,1,UZB,Saida'Lo Saidkarimov ,20,8 ,18 ,0,0
1090,1091,1,BRA,Fernando Yamacita ,20,8 ,19 ,0,0
1091,1092,1,ITA,Corrado Summaria ,20,8 ,20 ,0,0
1092,1093,1,USA,Martin Joyce ,21,7 ,2 ,0,0
1093,1094T,1,SRI,Harshana Godamanna ,32,7 ,2 ,0,0
1094,1094T,1,BRA,Joao Lucas Reis Da Silva ,17,7 ,2 ,0,0
1095,1096,1,ESP,Nicolas Alvarez Varona ,16,7 ,3 ,0,0
1096,1097T,1,RUS,Victor Baluda ,25,7 ,5 ,0,0
1097,1097T,,CHN,Yu Chang ,29,7 ,5 ,0,0
1098,1099,2,ESP,Nikolas Sanchez Izquierdo ,18,7 ,6 ,0,0
1099,1100,1,FRA,Romain Jouan ,32,7 ,6 ,0,0
1100,1101,1,ITA,Federico Iannaccone ,18,7 ,7 ,0,0
1101,1102,1,SRB,Miki Jankovic ,23,7 ,7 ,0,0
1102,1103,1,FRA,Mathieu Perchicot ,25,7 ,7 ,0,0
1103,1104,,SWE,Filip Bergevi ,23,7 ,8 ,0,0
1104,1105,1,GER,Johann Willems ,23,7 ,8 ,0,0
1105,1106,1,KOR,Jung-Woong Na ,25,7 ,8 ,0,0
1106,1107,,CZE,Tadeas Paroulek ,18,7 ,9 ,0,0
1107,1108,,HUN,David Szintai ,20,7 ,10 ,0,0
1108,1109,,FRA,Antoine Cornut-Chauvinc ,17,7 ,10 ,0,0
1109,1110,,GER,Nico Mertens ,23,7 ,11 ,0,0
1110,1111,1,FRA,Joffrey De Schepper ,26,7 ,11 ,0,0
1111,1112,1,FRA,Theo Fournerie ,20,7 ,12 ,0,0
1112,1113,1,ITA,Federico Maccari ,24,7 ,12 ,0,0
1113,1114,1,FIN,Patrik Niklas-Salminen ,20,7 ,12 ,0,0
1114,1115T,2,SUI,Mirko Martinez ,19,7 ,13 ,0,0
1115,1115T,2,CHI,Michel Vernier ,25,7 ,13 ,0,0
1116,1117,3,USA,Nathaniel Lammons ,24,7 ,14 ,0,0
1117,1118,3,FRA,Ronan Joncour ,21,7 ,14 ,1,0
1118,1119,3,USA,Collin Johns ,24,7 ,14 ,0,0
1119,1120,3,POL,Szymon Walkow ,22,7 ,14 ,0,0
1120,1121,2,ESP,Bruno Mardones ,22,7 ,14 ,0,0
1121,1122,2,BOL,Boris Arias ,24,7 ,15 ,0,0
1122,1123,2,ITA,Andrea Guerrieri ,19,7 ,16 ,0,0
1123,1124T,2,ISR,Shahar Elbaz ,21,7 ,16 ,0,0
1124,1124T,2,FRA,Louis Tessa ,19,7 ,16 ,0,0
1125,1126,4,CZE,Ondrej Krstev ,20,7 ,18 ,0,0
1126,1127,4,ISR,Yannai Barkai ,20,7 ,19 ,0,0
1127,1128,4,RUS,Dimitriy Voronin ,18,7 ,20 ,0,0
1128,1129,4,BIH,Darko Bojanovic ,21,7 ,21 ,0,0
1129,1130,4,SRB,Darko Jandric ,23,7 ,22 ,0,0
1130,1131,4,ISR,Orel Ovil ,21,7 ,24 ,0,0
1131,1132T,4,ARG,Sebastian Baez ,17,6 ,2 ,0,0
1132,1132T,626,POL,Michal Przysiezny ,34,6 ,2 ,0,0
1133,1132T,,TPE,Chun Hsin Tseng ,16,6 ,2 ,0,0
1134,1135,2,AUS,Matthew Barton ,26,6 ,2 ,0,0
1135,1136,2,SLO,Sven Lah ,19,6 ,3 ,0,0
1136,1137,2,SRB,Ilija Vucic ,27,6 ,6 ,0,0
1137,1138,2,SWE,Andre Goransson ,23,6 ,6 ,0,0
1138,1139T,2,GBR,Ewan Moore ,19,6 ,6 ,0,0
1139,1139T,2,CHI,Marcelo Plaza ,24,6 ,6 ,0,0
1140,1139T,2,IND,Nitin Kumar Sinha ,19,6 ,6 ,0,0
1141,1142,2,LAT,Mikelis Libietis ,25,6 ,7 ,0,0
1142,1143,2,NED,Lennert Van Der Linden ,28,6 ,7 ,0,0
1143,1144T,2,KOR,Ju-Hae Moon ,29,6 ,7 ,0,0
1144,1144T,2,FRA,Antoine Walch ,24,6 ,7 ,0,0
1145,1146,2,USA,Gary Kushnirovich ,26,6 ,8 ,0,0
1146,1147,2,RUS,Alexander Lobkov ,27,6 ,8 ,0,0
1147,1148T,2,ITA,Filippo Borella ,24,6 ,8 ,0,0
1148,1148T,2,ESP,Pablo Irigaray Guarne ,21,6 ,8 ,0,0
1149,1148T,2,RUS,Vladimir Korolev ,22,6 ,8 ,0,0
1150,1148T,2,ESP,Yuri Syromolotov Netrebin ,20,6 ,8 ,0,0
1151,1152,2,ESP,Alberto Barroso Campos ,21,6 ,9 ,0,0
1152,1153,2,ITA,Eros Siringo ,26,6 ,9 ,0,0
1153,1154,2,JPN,Naru Shirafuji ,19,6 ,9 ,0,0
1154,1155,44,IND,Ranjeet Virali-Murugesan ,32,6 ,10 ,0,0
1155,1156,1,ROU,Calin Manda ,19,6 ,10 ,1,0
1156,1157,2,JPN,Kazuma Kawachi ,23,6 ,11 ,0,0
1157,1158,2,ITA,Matteo De Vincentis ,19,6 ,12 ,0,0
1158,1159,2,KOR,Sang-Woo Noh ,25,6 ,13 ,2,0
1159,1160,2,ROU,Edris Fetisleam ,18,6 ,13 ,0,0
1160,1161T,3,ITA,Jacopo Berrettini ,19,6 ,13 ,1,0
1161,1161T,3,SVK,Marek Semjan ,30,6 ,13 ,0,0
1162,1163,3,FRA,Benjamin Pietri ,21,6 ,14 ,0,0
1163,1164,3,ROU,Andrei Stefan Apostol ,23,6 ,14 ,0,0
1164,1165,3,POR,Goncalo Falcao ,30,6 ,14 ,0,0
1165,1166,4,NZL,Rhett Purcell ,22,6 ,15 ,0,0
1166,1167,2,TUR,Mert Naci Turker ,19,6 ,15 ,0,0
1167,1168,44,POR,Luis Faria ,18,6 ,15 ,1,0
1168,1169,2,ARG,Franco Feitt ,25,6 ,16 ,0,0
1169,1170,2,AUS,James Frawley ,23,6 ,18 ,1,0
